"","RUT.Adjusted"
"1",170.809997558594
"2",120.419998168945
"3",142.149993896484
"4",151.300003051758
"5",149.089996337891
"6",147.369995117188
"7",157.899993896484
"8",167.419998168945
"9",178.210006713867
"10",168.309997558594
"11",163.630004882812
"12",169.119995117188
"13",126.699996948242
"14",132.199996948242
"15",171.009994506836
"16",167.610000610352
"17",180.160003662109
"18",189.940002441406
"19",203.699996948242
"20",188.580001831055
"21",192.910003662109
"22",221.009994506836
"23",229.210006713867
"24",233.350006103516
"25",252.949996948242
"26",258.589996337891
"27",251.059997558594
"28",240.289993286133
"29",256.119995117188
"30",250.360000610352
"31",260.769989013672
"32",283.630004882812
"33",310.380004882812
"34",315.970001220703
"35",330.769989013672
"36",346.609985351562
"37",346.390014648438
"38",362.609985351562
"39",342.559997558594
"40",396.369995117188
"41",453.820007324219
"42",437.019989013672
"43",480.679992675781
"44",457.390014648438
"45",363.589996337891
"46",421.959991455078
"47",397.630004882812
"48",457.679992675781
"49",427.299987792969
"50",504.75
"51",539.090026855469
"52",517.22998046875
"53",521.369995117188
"54",483.529998779297
"55",450.529998779297
"56",512.640014648438
"57",404.869995117188
"58",488.5
"59",506.459991455078
"60",462.640014648438
"61",362.269989013672
"62",383.089996337891
"63",364.540008544922
"64",448.369995117188
"65",487.679992675781
"66",556.909973144531
"67",590.309997558594
"68",591.52001953125
"69",572.940002441406
"70",651.570007324219
"71",615.070007324219
"72",639.659973144531
"73",667.799987792969
"74",673.219970703125
"75",765.140014648438
"76",724.669982910156
"77",725.590026855469
"78",787.659973144531
"79",800.710021972656
"80",833.700012207031
"81",805.450012207031
"82",766.030029296875
"83",687.969970703125
"84",689.659973144531
"85",679.580017089844
"86",499.450012207031
"87",422.75
"88",508.279998779297
"89",604.280029296875
"90",625.390014648438
"91",678.640014648438
"92",609.489990234375
"93",676.140014648438
"94",783.650024414062
"95",843.549987792969
"96",827.429992675781
"97",644.159973144531
"98",740.919982910156
"99",830.299987792969
"100",798.489990234375
"101",837.450012207031
"102",849.349975585938
"103",951.539978027344
"104",977.47998046875
"105",1073.7900390625
"106",1163.64001464844
"107",1173.0400390625
"108",1192.9599609375
"109",1101.68005371094
"110",1204.69995117188
"111",1252.77001953125
"112",1253.94995117188
"113",1100.68994140625
"114",1135.89001464844
"115",1114.03002929688
"116",1151.92004394531
"117",1251.65002441406
"118",1357.13000488281
"119",1385.92004394531
"120",1415.35998535156
"121",1490.85998535156
"122",1535.51000976562
"123",1529.43005371094
"124",1643.06994628906
"125",1696.56994628906
"126",1348.56005859375
"127",1539.73999023438
"128",1566.56994628906
"129",1523.36999511719
"130",1668.46997070312
"131",1153.09997558594
"132",1441.36999511719
"133",1507.68994140625
"134",1974.85998535156
"135",2220.52001953125
"136",2310.55004882812
"137",2204.3701171875
"138",2245.31005859375
"139",2070.1298828125
"140",1707.98999023438
"141",1664.71997070312
"142",1761.25
"143",1802.47998046875
"144",1888.72998046875
"145",1785.09997558594
"146",2027.06994628906
"147",2124.55004882812
"148",2047.68994140625
"149",2229.96997070312
"150",2230.15991210938
"151",2011.91003417969
"152",2175.0400390625
"153",2436.47998046875
"154",2481.90991210938
"155",2480.05004882812
